id,admit,gre,gpa,rank
1,0,380,361,3
2,1,660,367,3
3,1,800,4,1
4,1,640,319,4
5,0,520,293,4
6,1,760,3,2
7,1,560,298,1
8,0,400,308,2
9,1,540,339,3
10,0,700,392,2
11,0,800,4,4
12,0,440,322,1
13,1,760,4,1
14,0,700,308,2
15,1,700,4,1
16,0,480,344,3
17,0,780,387,4
18,0,360,256,3
19,0,800,375,2
20,1,540,381,1
21,0,500,317,3
22,1,660,363,2
23,0,600,282,4
24,0,680,319,4
25,1,760,335,2
26,1,800,366,1
27,1,620,361,1
28,1,520,374,4
29,1,780,322,2
30,0,520,329,1
31,0,540,378,4
32,0,760,335,3
33,0,600,34,3
34,1,800,4,3
35,0,360,314,1
36,0,400,305,2
37,0,580,325,1
38,0,520,29,3
39,1,500,313,2
40,1,520,268,3
41,0,560,242,2
42,1,580,332,2
43,1,600,315,2
44,0,500,331,3
45,0,700,294,2
46,1,460,345,3
47,1,580,346,2
48,0,500,297,4
49,0,440,248,4
50,0,400,335,3
51,0,640,386,3
52,0,440,313,4
53,0,740,337,4
54,1,680,327,2
55,0,660,334,3
56,1,740,4,3
57,0,560,319,3
58,0,380,294,3
59,0,400,365,2
60,0,600,282,4
61,1,620,318,2
62,0,560,332,4
63,0,640,367,3
64,1,680,385,3
65,0,580,4,3
66,0,600,359,2
67,0,740,362,4
68,0,620,33,1
69,0,580,369,1
70,0,800,373,1
71,0,640,4,3
72,0,300,292,4
73,0,480,339,4
74,0,580,4,2
75,0,720,345,4
76,0,720,4,3
77,0,560,336,3
78,1,800,4,3
79,0,540,312,1
80,1,620,4,1
81,0,700,29,4
82,0,620,307,2
83,0,500,271,2
84,0,380,291,4
85,1,500,36,3
86,0,520,298,2
87,0,600,332,2
88,0,600,348,2
89,0,700,328,1
90,1,660,4,2
91,0,700,383,2
92,1,720,364,1
93,0,800,39,2
94,0,580,293,2
95,1,660,344,2
96,0,660,333,2
97,0,640,352,4
98,0,480,357,2
99,0,700,288,2
100,0,400,331,3
101,0,340,315,3
102,0,580,357,3
103,0,380,333,4
104,0,540,394,3
105,1,660,395,2
106,1,740,297,2
107,1,700,356,1
108,0,480,313,2
109,0,400,293,3
110,0,480,345,2
111,0,680,308,4
112,0,420,341,4
113,0,360,3,3
114,0,600,322,1
115,0,720,384,3
116,0,620,399,3
117,1,440,345,2
118,0,700,372,2
119,1,800,37,1
120,0,340,292,3
121,1,520,374,2
122,1,480,267,2
123,0,520,285,3
124,0,500,298,3
125,0,720,388,3
126,0,540,338,4
127,1,600,354,1
128,0,740,374,4
129,0,540,319,2
130,0,460,315,4
131,1,620,317,2
132,0,640,279,2
133,0,580,34,2
134,0,500,308,3
135,0,560,295,2
136,0,500,357,3
137,0,560,333,4
138,0,700,4,3
139,0,620,34,2
140,1,600,358,1
141,0,640,393,2
142,1,700,352,4
143,0,620,394,4
144,0,580,34,3
145,0,580,34,4
146,0,380,343,3
147,0,480,34,2
148,0,560,271,3
149,1,480,291,1
150,0,740,331,1
151,1,800,374,1
152,0,400,338,2
153,1,640,394,2
154,0,580,346,3
155,0,620,369,3
156,1,580,286,4
157,0,560,252,2
158,1,480,358,1
159,0,660,349,2
160,0,700,382,3
161,0,600,313,2
162,0,640,35,2
163,1,700,356,2
164,0,520,273,2
165,0,580,33,2
166,0,700,4,1
167,0,440,324,4
168,0,720,377,3
169,0,500,4,3
170,0,600,362,3
171,0,400,351,3
172,0,540,281,3
173,0,680,348,3
174,1,800,343,2
175,0,500,353,4
176,1,620,337,2
177,0,520,262,2
178,1,620,323,3
179,0,620,333,3
180,0,300,301,3
181,0,620,378,3
182,0,500,388,4
183,0,700,4,2
184,1,540,384,2
185,0,500,279,4
186,0,800,36,2
187,0,560,361,3
188,0,580,288,2
189,0,560,307,2
190,0,500,335,2
191,1,640,294,2
192,0,800,354,3
193,0,640,376,3
194,0,380,359,4
195,1,600,347,2
196,0,560,359,2
197,0,660,307,3
198,1,400,323,4
199,0,600,363,3
200,0,580,377,4
201,0,800,331,3
202,1,580,32,2
203,1,700,4,1
204,0,420,392,4
205,1,600,389,1
206,1,780,38,3
207,0,740,354,1
208,1,640,363,1
209,0,540,316,3
210,0,580,35,2
211,0,740,334,4
212,0,580,302,2
213,0,460,287,2
214,0,640,338,3
215,1,600,356,2
216,1,660,291,3
217,0,340,29,1
218,1,460,364,1
219,0,460,298,1
220,1,560,359,2
221,0,540,328,3
222,0,680,399,3
223,1,480,302,1
224,0,800,347,3
225,0,800,29,2
226,1,720,35,3
227,0,620,358,2
228,0,540,302,4
229,0,480,343,2
230,1,720,342,2
231,0,580,329,4
232,0,600,328,3
233,0,380,338,2
234,0,420,267,3
235,1,800,353,1
236,0,620,305,2
237,1,660,349,2
238,0,480,4,2
239,0,500,286,4
240,0,700,345,3
241,0,440,276,2
242,1,520,381,1
243,1,680,296,3
244,0,620,322,2
245,0,540,304,1
246,0,800,391,3
247,0,680,334,2
248,0,440,317,2
249,0,680,364,3
250,0,640,373,3
251,0,660,331,4
252,0,620,321,4
253,1,520,4,2
254,1,540,355,4
255,1,740,352,4
256,0,640,335,3
257,1,520,33,2
258,1,620,395,3
259,0,520,351,2
260,0,640,381,2
261,0,680,311,2
262,0,440,315,2
263,1,520,319,3
264,1,620,395,3
265,1,520,39,3
266,0,380,334,3
267,0,560,324,4
268,1,600,364,3
269,1,680,346,2
270,0,500,281,3
271,1,640,395,2
272,0,540,333,3
273,1,680,367,2
274,0,660,332,1
275,0,520,312,2
276,1,600,298,2
277,0,460,377,3
278,1,580,358,1
279,1,680,3,4
280,1,660,314,2
281,0,660,394,2
282,0,360,327,3
283,0,660,345,4
284,0,520,31,4
285,1,440,339,2
286,0,600,331,4
287,1,800,322,1
288,1,660,37,4
289,0,800,315,4
290,0,420,226,4
291,1,620,345,2
292,0,800,278,2
293,0,680,37,2
294,0,800,397,1
295,0,480,255,1
296,0,520,325,3
297,0,560,316,1
298,0,460,307,2
299,0,540,35,2
300,0,720,34,3
301,0,640,33,2
302,1,660,36,3
303,1,400,315,2
304,1,680,398,2
305,0,220,283,3
306,0,580,346,4
307,1,540,317,1
308,0,580,351,2
309,0,540,313,2
310,0,440,298,3
311,0,560,4,3
312,0,660,367,2
313,0,660,377,3
314,1,520,365,4
315,0,540,346,4
316,1,300,284,2
317,1,340,3,2
318,1,780,363,4
319,1,480,371,4
320,0,540,328,1
321,0,460,314,3
322,0,460,358,2
323,0,500,301,4
324,0,420,269,2
325,0,520,27,3
326,0,680,39,1
327,0,680,331,2
328,1,560,348,2
329,0,580,334,2
330,0,500,293,4
331,0,740,4,3
332,0,660,359,3
333,0,420,296,1
334,0,560,343,3
335,1,460,364,3
336,1,620,371,1
337,0,520,315,3
338,0,620,309,4
339,0,540,32,1
340,1,660,347,3
341,0,500,323,4
342,1,560,265,3
343,0,500,395,4
344,0,580,306,2
345,0,520,335,3
346,0,500,303,3
347,0,600,335,2
348,0,580,38,2
349,0,400,336,2
350,0,620,285,2
351,1,780,4,2
352,0,620,343,3
353,1,580,312,3
354,0,700,352,2
355,1,540,378,2
356,1,760,281,1
357,0,700,327,2
358,0,720,331,1
359,1,560,369,3
360,0,720,394,3
361,1,520,4,1
362,1,540,349,1
363,0,680,314,2
364,0,460,344,2
365,1,560,336,1
366,0,480,278,3
367,0,460,293,3
368,0,620,363,3
369,0,580,4,1
370,0,800,389,2
371,1,540,377,2
372,1,680,376,3
373,1,680,242,1
374,1,620,337,1
375,0,560,378,2
376,0,560,349,4
377,0,620,363,2
378,1,800,4,2
379,0,640,312,3
380,0,540,27,2
381,0,700,365,2
382,1,540,349,2
383,0,540,351,2
384,0,660,4,1
385,1,480,262,2
386,0,420,302,1
387,1,740,386,2
388,0,580,336,2
389,0,640,317,2
390,0,640,351,2
391,1,800,305,2
392,1,660,388,2
393,1,600,338,3
394,1,620,375,2
395,1,460,399,3
396,0,620,4,2
397,0,560,304,3
398,0,460,263,2
399,0,700,365,2
400,0,600,389,3
